Date,Close
9/15/2023 16:00:00,87.07
9/18/2023 16:00:00,87.02
9/19/2023 16:00:00,87.11
9/20/2023 16:00:00,85.74
9/21/2023 16:00:00,84.11
9/22/2023 16:00:00,88.3
9/25/2023 16:00:00,87.22
9/26/2023 16:00:00,85.91
9/27/2023 16:00:00,86.19
9/28/2023 16:00:00,85.54
9/29/2023 16:00:00,86.74
10/2/2023 16:00:00,86.53
10/3/2023 16:00:00,84.54
10/4/2023 16:00:00,84.08
10/5/2023 16:00:00,83.67
10/6/2023 16:00:00,86.06
10/9/2023 16:00:00,84.85
10/10/2023 16:00:00,87.17
10/11/2023 16:00:00,87.78
10/12/2023 16:00:00,84.51
10/13/2023 16:00:00,84.02
10/16/2023 16:00:00,84.31
10/17/2023 16:00:00,83.91
10/18/2023 16:00:00,83.01
10/19/2023 16:00:00,81.61
10/20/2023 16:00:00,79.94
10/23/2023 16:00:00,80.51
10/24/2023 16:00:00,82.87
10/25/2023 16:00:00,81.03
10/26/2023 16:00:00,82.51
10/27/2023 16:00:00,82.82
10/30/2023 16:00:00,83.14
10/31/2023 16:00:00,82.54
11/1/2023 16:00:00,82.48
11/2/2023 16:00:00,83.41
11/3/2023 16:00:00,85.31
11/6/2023 16:00:00,85.36
11/7/2023 16:00:00,85.41
11/8/2023 16:00:00,84.8
11/9/2023 16:00:00,82.73
11/10/2023 16:00:00,82.75
11/13/2023 16:00:00,82.26
11/14/2023 16:00:00,83.87
11/15/2023 16:00:00,87.07
11/16/2023 16:00:00,79.11
11/17/2023 16:00:00,77.6
11/20/2023 16:00:00,78.46
11/21/2023 16:00:00,78.94
11/22/2023 16:00:00,78.96
11/24/2023 13:00:00,78.49
11/27/2023 16:00:00,77.53
11/28/2023 16:00:00,76.74
11/29/2023 16:00:00,74.67
11/30/2023 16:00:00,74.88
12/1/2023 16:00:00,73.99
12/4/2023 16:00:00,73.03
12/5/2023 16:00:00,72.38
12/6/2023 16:00:00,71.49
12/7/2023 16:00:00,72.33
12/8/2023 16:00:00,72.14
12/11/2023 16:00:00,71.37
12/12/2023 16:00:00,71.39
12/13/2023 16:00:00,71.46
12/14/2023 16:00:00,72.51
12/15/2023 16:00:00,74.51
12/18/2023 16:00:00,73.84
12/19/2023 16:00:00,75.39
12/20/2023 16:00:00,73.35
12/21/2023 16:00:00,76.26
12/22/2023 16:00:00,75.28
12/26/2023 16:00:00,75.85
12/27/2023 16:00:00,76.11
12/28/2023 16:00:00,77.24
12/29/2023 16:00:00,77.51
1/2/2024 16:00:00,74.76
1/3/2024 16:00:00,76.59
1/4/2024 16:00:00,74.66
1/5/2024 16:00:00,73.01
1/8/2024 16:00:00,72.88
1/9/2024 16:00:00,72.02
1/10/2024 16:00:00,71.41
1/11/2024 16:00:00,72.38
1/12/2024 16:00:00,71.84
1/16/2024 16:00:00,69.46
1/17/2024 16:00:00,68.93
1/18/2024 16:00:00,68.05
1/19/2024 16:00:00,69.42
1/22/2024 16:00:00,68.63
1/23/2024 16:00:00,74.02
1/24/2024 16:00:00,75.2
1/25/2024 16:00:00,73.85
1/26/2024 16:00:00,74.01
1/29/2024 16:00:00,73.58
1/30/2024 16:00:00,72.32
1/31/2024 16:00:00,72.17
2/1/2024 16:00:00,72.46
2/2/2024 16:00:00,71.85
2/5/2024 16:00:00,74.63
2/6/2024 16:00:00,78.23
2/7/2024 16:00:00,73.64
2/8/2024 16:00:00,70.78
2/9/2024 16:00:00,72.02
2/12/2024 16:00:00,73.14
2/13/2024 16:00:00,71.6
2/14/2024 16:00:00,73.39
2/15/2024 16:00:00,73.82
2/16/2024 16:00:00,73.91
2/20/2024 16:00:00,73.14
2/21/2024 16:00:00,75.58
2/22/2024 16:00:00,76.12
2/23/2024 16:00:00,75.96
2/26/2024 16:00:00,76.51
2/27/2024 16:00:00,77.68
2/28/2024 16:00:00,74.59
2/29/2024 16:00:00,74.03
3/1/2024 16:00:00,74.62
3/4/2024 16:00:00,72
3/5/2024 16:00:00,72.07
3/6/2024 16:00:00,73.71
3/7/2024 16:00:00,72.54
3/8/2024 16:00:00,73.55
3/11/2024 16:00:00,74.86
3/12/2024 16:00:00,76.06
3/13/2024 16:00:00,76.39
3/14/2024 16:00:00,73.4
3/15/2024 16:00:00,73.42
3/18/2024 16:00:00,73.52
3/19/2024 16:00:00,73.42
3/20/2024 16:00:00,74.18
3/21/2024 16:00:00,73.83
3/22/2024 16:00:00,72.13
3/25/2024 16:00:00,71.46
3/26/2024 16:00:00,71.48
3/27/2024 16:00:00,71.59
3/28/2024 16:00:00,72.36
4/1/2024 16:00:00,73.37
4/2/2024 16:00:00,72.88
4/3/2024 16:00:00,72.44
4/4/2024 16:00:00,71.95
4/5/2024 16:00:00,71.66
4/8/2024 16:00:00,71.71
4/9/2024 16:00:00,72.99
4/10/2024 16:00:00,74.59
4/11/2024 16:00:00,74.85
4/12/2024 16:00:00,71.29
4/15/2024 16:00:00,70.62
4/16/2024 16:00:00,69.61
4/17/2024 16:00:00,68.82
4/18/2024 16:00:00,68.88
4/19/2024 16:00:00,69.07
4/22/2024 16:00:00,70.68
4/23/2024 16:00:00,72.51
4/24/2024 16:00:00,74.63
4/25/2024 16:00:00,75.11
4/26/2024 16:00:00,75.55
4/29/2024 16:00:00,76.41
4/30/2024 16:00:00,74.85
5/1/2024 16:00:00,75.51
5/2/2024 16:00:00,80.33
5/3/2024 16:00:00,81.33
5/6/2024 16:00:00,81.55
5/7/2024 16:00:00,79.37
5/8/2024 16:00:00,78.46
5/9/2024 16:00:00,79.46
5/10/2024 16:00:00,80.04
5/13/2024 16:00:00,84.6
5/14/2024 16:00:00,79.51
5/15/2024 16:00:00,80.99
5/16/2024 16:00:00,86.7
5/17/2024 16:00:00,88.54
5/20/2024 16:00:00,88.28
5/21/2024 16:00:00,86.13
5/22/2024 16:00:00,82.68
5/23/2024 16:00:00,80.8
5/24/2024 16:00:00,81.26
5/28/2024 16:00:00,80.58
5/29/2024 16:00:00,79.06
5/30/2024 16:00:00,79.63
5/31/2024 16:00:00,78.34
6/3/2024 16:00:00,77.9
6/4/2024 16:00:00,78.45
6/5/2024 16:00:00,79.83
6/6/2024 16:00:00,80.01
6/7/2024 16:00:00,78.41
6/10/2024 16:00:00,79.3
6/11/2024 16:00:00,77.9
6/12/2024 16:00:00,78.04
6/13/2024 16:00:00,75.68
6/14/2024 16:00:00,73.35
6/17/2024 16:00:00,74.55
6/18/2024 16:00:00,74.46
6/20/2024 16:00:00,74.35
6/21/2024 16:00:00,73.67
6/24/2024 16:00:00,74.79
6/25/2024 16:00:00,73.79
6/26/2024 16:00:00,74.17
6/27/2024 16:00:00,72.37
6/28/2024 16:00:00,72
7/1/2024 16:00:00,72.18
7/2/2024 16:00:00,73.68
7/3/2024 13:00:00,75.57
7/5/2024 16:00:00,74.52
7/8/2024 16:00:00,73.5
7/9/2024 16:00:00,75.7
7/10/2024 16:00:00,76.01
7/11/2024 16:00:00,78.52
7/12/2024 16:00:00,79.65
7/15/2024 16:00:00,78.01
7/16/2024 16:00:00,78.38
7/17/2024 16:00:00,77.04
7/18/2024 16:00:00,76.54
7/19/2024 16:00:00,75.27
7/22/2024 16:00:00,76.64
7/23/2024 16:00:00,76.1
7/24/2024 16:00:00,75.8
7/25/2024 16:00:00,75.4
7/26/2024 16:00:00,76.53
7/29/2024 16:00:00,78.62
7/30/2024 16:00:00,78
7/31/2024 16:00:00,78.85
8/1/2024 16:00:00,77.98
8/2/2024 16:00:00,77.45
8/5/2024 16:00:00,76.98
8/6/2024 16:00:00,77.9
8/7/2024 16:00:00,77.83
8/8/2024 16:00:00,80.31
8/9/2024 16:00:00,79.99
8/12/2024 16:00:00,80.91
8/13/2024 16:00:00,81.1
8/14/2024 16:00:00,79.47
8/15/2024 16:00:00,79.54
8/16/2024 16:00:00,83.18
8/19/2024 16:00:00,83.91
8/20/2024 16:00:00,81.04
8/21/2024 16:00:00,83.53
8/22/2024 16:00:00,82.96
8/23/2024 16:00:00,85.41
8/26/2024 16:00:00,81.76
8/27/2024 16:00:00,81.45
8/28/2024 16:00:00,79.62
8/29/2024 16:00:00,81.02
8/30/2024 16:00:00,83.34
9/3/2024 16:00:00,82.27
9/4/2024 16:00:00,82.47
9/5/2024 16:00:00,82.43
9/6/2024 16:00:00,81.18
9/9/2024 16:00:00,81.44
9/10/2024 16:00:00,83.8
9/11/2024 16:00:00,84.81
9/12/2024 16:00:00,85.49
9/13/2024 16:00:00,84.69
9/16/2024 16:00:00,83.6
9/17/2024 16:00:00,84.7
9/18/2024 16:00:00,84.42
9/19/2024 16:00:00,88.49
9/20/2024 16:00:00,88.29
9/23/2024 16:00:00,90.09
9/24/2024 16:00:00,97.19
9/25/2024 16:00:00,95.46
9/26/2024 16:00:00,105.07
9/27/2024 16:00:00,107.33
9/30/2024 16:00:00,106.12
10/1/2024 16:00:00,112.74
10/2/2024 16:00:00,115.25
10/3/2024 16:00:00,112.84
10/4/2024 16:00:00,114.53
10/7/2024 16:00:00,117.52
10/8/2024 16:00:00,109.68
10/9/2024 16:00:00,107.89
10/10/2024 16:00:00,109.28
10/11/2024 16:00:00,110.14
10/14/2024 16:00:00,107.81
10/15/2024 16:00:00,101.84
10/16/2024 16:00:00,102.17
10/17/2024 16:00:00,100.07
10/18/2024 16:00:00,102.43
10/21/2024 16:00:00,100.91
10/22/2024 16:00:00,100.46
10/23/2024 16:00:00,98
10/24/2024 16:00:00,96.36
10/25/2024 16:00:00,97.42
10/28/2024 16:00:00,99.93
10/29/2024 16:00:00,99.83
10/30/2024 16:00:00,98.7
10/31/2024 16:00:00,97.98
11/1/2024 16:00:00,97.58
11/4/2024 16:00:00,98.4
11/5/2024 16:00:00,99.21
11/6/2024 16:00:00,96.73
11/7/2024 16:00:00,100.14
11/8/2024 16:00:00,94.19
11/11/2024 16:00:00,95.42
11/12/2024 16:00:00,91.78
11/13/2024 16:00:00,92
11/14/2024 16:00:00,90.58
11/15/2024 16:00:00,88.59
11/18/2024 16:00:00,89.35
11/19/2024 16:00:00,87.11
11/20/2024 16:00:00,86.77
11/21/2024 16:00:00,85.58
11/22/2024 16:00:00,83.13
11/25/2024 16:00:00,85.58
11/26/2024 16:00:00,85.18
11/27/2024 16:00:00,86.59
11/29/2024 13:00:00,87.37
12/2/2024 16:00:00,85.95
12/3/2024 16:00:00,85.68
12/4/2024 16:00:00,84.93
12/5/2024 16:00:00,84.15
12/6/2024 16:00:00,85.93
12/9/2024 16:00:00,92.32
12/10/2024 16:00:00,89.83
12/11/2024 16:00:00,88.98
12/12/2024 16:00:00,89.23
12/13/2024 16:00:00,87.82
12/16/2024 16:00:00,86.06
12/17/2024 16:00:00,87.15
12/18/2024 16:00:00,85
12/19/2024 16:00:00,84.31
12/20/2024 16:00:00,82.28
12/23/2024 16:00:00,85.14
12/24/2024 13:00:00,85.52
12/26/2024 16:00:00,86.08
12/27/2024 16:00:00,85.06
12/30/2024 16:00:00,84.13
12/31/2024 16:00:00,84.79
1/2/2025 16:00:00,84.95
1/3/2025 16:00:00,85.54
1/6/2025 16:00:00,85.52
1/7/2025 16:00:00,84.48
1/8/2025 16:00:00,83.69
1/10/2025 16:00:00,80.53
1/13/2025 16:00:00,80.54
1/14/2025 16:00:00,81.68
1/15/2025 16:00:00,82.44
